emp_no,first_name,last_name,dept_no,dept_name
10001,Georgi,Facello,d005,Development
10004,Chirstian,Koblick,d004,Production
10005,Kyoichi,Maliniak,d003,Human Resources
10006,Anneke,Preusig,d005,Development
10009,Sumant,Peac,d006,Quality Management
10011,Mary,Sluis,d009,Customer Service
10018,Kazuhide,Peha,d004,Production
10019,Lillian,Haddadi,d008,Research
10020,Mayuko,Warwick,d004,Production
10022,Shahaf,Famili,d005,Development
10023,Bojan,Montemayor,d005,Development
10026,Yongqiao,Berztiss,d004,Production
10035,Alain,Chappelet,d004,Production
10047,Zvonko,Nyanchama,d004,Production
10051,Hidefumi,Caine,d004,Production
10053,Sanjiv,Zschoche,d007,Sales
10057,Ebbe,Callaway,d005,Development
10058,Berhard,McFarlin,d001,Marketing
10059,Alejandro,McAlpine,d002,Finance
10063,Gino,Leonhardt,d004,Production
10066,Kwee,Schusler,d005,Development
10067,Claudi,Stavenow,d006,Quality Management
10070,Reuven,Garigliano,d005,Development
10072,Hironoby,Sidou,d005,Development
10073,Shir,McClurg,d006,Quality Management
10074,Mokhtar,Bernatsky,d005,Development
10076,Erez,Ritzmann,d005,Development
10088,Jungsoon,Syrzycki,d007,Sales
10091,Amabile,Gomatam,d005,Development
10096,Jayson,Mandell,d004,Production
10097,Remzi,Waschkowski,d008,Research
10100,Hironobu,Haraldson,d003,Human Resources
10101,Perla,Heyers,d007,Sales
10103,Akemi,Birch,d005,Development
10106,Eben,Aingworth,d004,Production
10108,Lunjin,Giveon,d001,Marketing
10116,Dayanand,Czap,d005,Development
10126,Kayoko,Valtorta,d009,Customer Service
10127,Subir,Baja,d005,Development
10129,Armond,Peir,d005,Development
10130,Nishit,Casperson,d004,Production
10131,Magdalena,Eldridge,d004,Production
10134,Diederik,Siprelle,d004,Production
10138,Perry,Shimshoni,d006,Quality Management
10149,Xiadong,Perry,d007,Sales
10150,Zhenbing,Perng,d005,Development
10152,Jaques,Munro,d006,Quality Management
10153,Heekeun,Majewski,d005,Development
10157,Nigel,Aloisi,d005,Development
10159,Serif,Buescher,d006,Quality Management
10160,Debatosh,Khasidashvili,d007,Sales
10161,Hairong,Mellouli,d004,Production
10163,Karsten,Szmurlo,d003,Human Resources
10166,Samphel,Siegrist,d005,Development
10177,Pragnesh,Iisaka,d002,Finance
10183,Mechthild,Bonifati,d009,Customer Service
10186,Shigehito,Kropatsch,d002,Finance
10189,Khalid,Erva,d005,Development
10194,Josyula,Hofmeyr,d002,Finance
10196,Marc,Hellwagner,d002,Finance
10198,Pranav,Furedi,d005,Development
10203,Steen,Escriba,d008,Research
10205,Mabhin,Leijenhorst,d004,Production
10207,Girolamo,Anandan,d005,Development
10215,Xiaobin,Duclos,d007,Sales
10217,Yongmin,Roison,d004,Production
10219,Genta,Kolvik,d005,Development
10224,Leon,Trogemann,d004,Production
10228,Karoline,Cesareni,d001,Marketing
10229,Ulises,Takanami,d006,Quality Management
10230,Clyde,Vernadat,d008,Research
10233,Lein,Vendrig,d003,Human Resources
10237,Yannis,Mandell,d007,Sales
10239,Nikolaos,Llado,d001,Marketing
10240,Remko,Maccarone,d006,Quality Management
10248,Frederique,Tempesti,d007,Sales
10249,Marie,Boreale,d005,Development
10258,Basil,Ishibashi,d005,Development
10262,Mahendra,Maraist,d007,Sales
10272,Yishai,Cannane,d002,Finance
10278,Lubomir,Nitsch,d005,Development
10281,Moty,Kusakari,d006,Quality Management
10282,Hercules,Benzmuller,d004,Production
10283,Kauko,Birjandi,d005,Development
10284,Masali,Murrill,d004,Production
10286,Saddek,Gopalakrishnan,d009,Customer Service
10294,Rutger,Miara,d005,Development
10295,Kristine,Velardi,d002,Finance
10298,Dietrich,DuCasse,d004,Production
10302,Faiza,Baer,d007,Sales
10305,Hirochika,Piancastelli,d005,Development
10306,Heng,Kilgour,d007,Sales
10307,Nikolaos,Leaver,d004,Production
10321,Guenter,Ravishankar,d007,Sales
10322,Isamu,Dahlbom,d005,Development
10325,Arunachalam,Badr,d003,Human Resources
10326,Masali,Czap,d008,Research
10327,Roded,Facello,d005,Development
10328,Serenella,Kawashima,d005,Development
10333,Snehasis,Dymetman,d005,Development
10340,Djelloul,Laventhal,d001,Marketing
10343,Dinah,Syrzycki,d006,Quality Management
10347,Pradeep,Kaminger,d008,Research
10349,Oksana,Brodie,d009,Customer Service
10350,Kristen,Kavvadias,d004,Production
10353,Phule,Hammerschmidt,d001,Marketing
10355,Satyanarayana,Cochrane,d007,Sales
10356,Vasilis,Standera,d008,Research
10358,Qunsheng,Tagansky,d005,Development
10363,Toshiki,Muniz,d004,Production
10364,Nakhoon,Dengi,d004,Production
10367,Hyuckchul,Gini,d001,Marketing
10372,Anneli,Frijda,d004,Production
10374,Willard,Rosin,d007,Sales
10377,Marl,Grospietsch,d004,Production
10382,Shirish,Dredge,d004,Production
10387,Parto,Wrigley,d009,Customer Service
10388,Hironoby,Kaiser,d007,Sales
10389,Make,Peir,d005,Development
10395,Takahiro,Deverell,d005,Development
10396,Sibyl,Rahier,d005,Development
10397,Irena,Reutenauer,d004,Production
10402,Volkmar,Ebeling,d006,Quality Management
10404,Prodip,Rosti,d005,Development
10407,Ulf,Siepmann,d007,Sales
10413,Danel,Impagliazzo,d003,Human Resources
10414,Yinlin,Alpin,d005,Development
10418,Candida,Porotnikoff,d001,Marketing
10422,Greger,Rubsam,d004,Production
10426,Arunas,Luce,d005,Development
10429,Martien,Improta,d005,Development
10432,Hisao,Tiemann,d009,Customer Service
10433,Reuven,Dengi,d006,Quality Management
10442,Volkmar,Unno,d007,Sales
10443,Shichao,Litvinov,d005,Development
10451,Bodh,Ranta,d004,Production
10453,Tsvetan,Matzel,d009,Customer Service
10463,Ung,Zaiane,d007,Sales
10466,Jiakeng,Himler,d009,Customer Service
10477,Guoxiang,Trogemann,d005,Development
10486,Amstein,Kossowski,d006,Quality Management
10494,Yakkov,Servieres,d004,Production
10497,Pramod,Rabehasaina,d004,Production
10499,Maik,Luft,d001,Marketing
10503,Dannz,Pell,d004,Production
10504,Xiong,Varker,d007,Sales
10509,Abdelwaheb,Riesenhuber,d007,Sales
10512,Udi,Gihr,d003,Human Resources
10517,Tiina,Speek,d007,Sales
10519,Yonghoan,Alencar,d005,Development
10522,Marke,Cesareni,d003,Human Resources
10529,Ymte,Yetto,d004,Production
10531,Oguz,Gimbel,d003,Human Resources
10538,Przemyslawa,Falby,d005,Development
10541,Godehard,Eiter,d007,Sales
10542,Yannis,Couchot,d005,Development
10548,Ramalingam,Gunderson,d001,Marketing
10552,Kazuhito,Shiratori,d004,Production
10564,Jianhao,Thisen,d004,Production
10568,Gao,Poulakidas,d007,Sales
10575,Theirry,Yeung,d004,Production
10586,Kirk,Vuskovic,d004,Production
10591,Hidde,Hettesheimer,d001,Marketing
10593,Falguni,Kenevan,d005,Development
10596,Sanjit,Coors,d007,Sales
10603,Wayne,Restivo,d007,Sales
10608,Adhemar,Talmor,d004,Production
10610,Irena,Roccetti,d005,Development
10614,Gila,Ozeri,d004,Production
10615,Keung,Delgrande,d002,Finance
10617,Hidekazu,Angel,d009,Customer Service
10623,Aleksander,Danlos,d005,Development
10624,Sham,Gyorkos,d004,Production
10628,Krisda,Krogh,d005,Development
10629,Lalit,Francisci,d007,Sales
10630,Bezalel,Katzenelson,d004,Production
10631,Inderjeet,Chaudhuri,d005,Development
10634,Nahid,Chepyzhov,d005,Development
10636,Saeko,Porotnikoff,d003,Human Resources
10637,Heejo,Frolund,d007,Sales
10639,Pramod,Erol,d005,Development
10641,Guozhong,Zucker,d005,Development
10642,Hirochika,Narlikar,d005,Development
10653,Otmar,Feinberg,d005,Development
10667,Makato,Cusworth,d009,Customer Service
10671,Parviz,Rebaine,d003,Human Resources
10672,Bluma,Zeilberger,d004,Production
10676,Valeri,Danley,d005,Development
